"rec_id","role","reflink","reference"
9,"general","Singer, 1998","Singer, D.A., 1998, Revised grade and tonnage model of carbonatite deposits: U.S. Geological Survey Open-File Report 98-0235, 7 p."
9,"general","Yuan Zhongxin and others, 1992","Yuan Zhongxin, Bai Ge, Wu Chenyu, Zhang Zhongqin, and Ye Xianjiang, 1992, Geological features and genesis of the Bayan Obo REE ore deposit, Inner Mongolia, China: Applied Geochemistry, v. 7 p. 429-442."
9,"general","Wu and others, 1996","Wu, C., Yuan, Z., and Bai, G., 1996, Rare earth deposits in China, in Jones, A.P., Wall, Frances, and Williams, C.T., eds., Rare earth minerals-- chemistry, origin and ore deposits: New York, Chapman and Hall, The Mineralogical Society Series 7, p. 281-310."
9,"general","Zhang Peishan and others, 1995","Zhang Peishan, Yang Zhuming, Tao Kejie, and Yang Zueming, 1995, Mineralogy and geology of rare earths in China: Beijing, China, Science Press, 209 p."
9,"general","Zhou, 1980","Zhou Zhenling, 1980, On the geological characteristics and genesis of the dolomitic carbonatites at Bayan Obo, Nei Mongal, Inner Mongolia: Geological Society of China, Beijing, Dizhi Lunping-Geological Review, v. 26, no. 1, p. 35-41."
9,"general","Yuan Zhongxin and others, 2000","Yuan Zhongxin, Bai Ge, and Zhang Zhongqin, 2000, Trachytic rock and associated fenitization in the Bayan Obo ore deposit, Inner Mongolia, China: Evidence for magmatic-hydrothermal mineralization related to a carbonatitic complex: Acta Geologica Sinica, v. 74, no. 2, p. 148-153."
10,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
10,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
10,"general","King, 1991","King, J.K., 1991, Rare earth elements and yttrium in Wyoming: Geological Survey of Wyoming Mineral Report 91-3, 125 p."
10,"general","Mariano, 1989","Mariano, A.N., 1989, Economic geology of rare earth minerals, in Lipin, B.R., and McKay, G.A., eds., Geochemistry and mineralogy of the rare earth elements: Washington, D.C., Mineralogical Society of America Reviews in Mineralogy 21, p. 309-348."
10,"general","Mariano, 1981a","Mariano, A.N., 1981a, Rare earth mineralization in the Bear Lodge carbonatite complex, Crook County, Wyoming: unpublished report to Molycorp, 53 p."
10,"location","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
10,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
11,"general","Hearn and others, 1964","Hearn, B.C., Jr., Pecora, W.T., and Swadley, W.C., 1964, Geology of the Rattlesnake quadrangle, Bearpaw Mountains, Blaine County, Montana: U.S. Geological Survey Bulletin 1181-B, 66 p."
11,"location","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
11,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
11,"general","Wall and Mariano, 1996","Wall, F., and Mariano, A.N., 1996, Rare earth mienrals in carbonatites: a discussion centred on the Kangankunde Carbonatite, Malawi, in Jones, A.P.,"
12,"location","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
12,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
13,"general","Alberti and others, 1999","Alberti, A.. Castorina, F., Censi, P., Comin-Chiaramonti, P., and Gomes, C.B., 1999, Geochemical characteristics of Cretaceous carbonatites from Angola: Journal of African Earth Sciences, v. 29, p. 735-759."
13,"general","Premoli, 1994","Premoli, Camillo, 1994, Industrial minerals in Angola and Mozambiqueﾗa multi-country approach, in Mathers, S.J., and Notholt, A.J.G., eds., Industrial minerals in developing countries: British Geological Survey and Association of Geoscientists for International Development (AGID) Report Series Geosciences in International Development 18, p. 135-144."
13,"location","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
13,"general","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
14,"general","Arab Organisation for Mineral Resources, 1987","Arab Organisation for Mineral Resources, 1987, Mineral deposit map of the Arab world-- Explantaory notes and maps: Rabat, Morocco, Arab Organisation for Mineral Resources, 430 p."
14,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
14,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
14,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
14,"resource","Neary and Highley, 1984","Neary, C.R., and Highley, D.E., 1984, The economic importance of the rare earth elements, in Henderson, P., ed., Rare earth element geochemistry: New York, Elsevier, Developments in Geochemistry 2, p. 423-466."
14,"general","Neary and Highley, 1984","Neary, C.R., and Highley, D.E., 1984, The economic importance of the rare earth elements, in Henderson, P., ed., Rare earth element geochemistry: New York, Elsevier, Developments in Geochemistry 2, p. 423-466."
15,"general","Premoli, 1994","Premoli, Camillo, 1994, Industrial minerals in Angola and Mozambiqueﾗa multi-country approach, in Mathers, S.J., and Notholt, A.J.G., eds., Industrial minerals in developing countries: British Geological Survey and Association of Geoscientists for International Development (AGID) Report Series Geosciences in International Development 18, p. 135-144."
15,"location","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
15,"general","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
16,"general","Erdosh, 1979","Erdosh, George, 1979, The Ontario carbonatite province and its phosphate potential: Economic Geology, v. 74, p. 331-338."
16,"general","British Sulphur Corporation, 1987","British Sulphur Corporation Limited, 1987, A world survey of phosphate deposits: London, The British Sulphur Corporation Limited, 274 p."
16,"location","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
16,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
17,"general","British Sulphur Corporation, 1987","British Sulphur Corporation Limited, 1987, A world survey of phosphate deposits: London, The British Sulphur Corporation Limited, 274 p."
17,"general","Litherland and others, 1986","Litherland, M., and others, 1986, The geology and mineral resources of the Bolivian Precambrian shield: British Geological Survey Overseas Memoir 9, 153 p."
17,"location","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
17,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
17,"general","Wall and Mariano, 1996","Wall, F., and Mariano, A.N., 1996, Rare earth mienrals in carbonatites: a discussion centred on the Kangankunde Carbonatite, Malawi, in Jones, A.P.,"
18,"location","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
18,"general","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
19,"location","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
19,"general","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
20,"location","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
20,"general","Wall and Mariano, 1996","Wall, F., and Mariano, A.N., 1996, Rare earth mienrals in carbonatites: a discussion centred on the Kangankunde Carbonatite, Malawi, in Jones, A.P.,"
20,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
21,"general","Alberti and others, 1999","Alberti, A.. Castorina, F., Censi, P., Comin-Chiaramonti, P., and Gomes, C.B., 1999, Geochemical characteristics of Cretaceous carbonatites from Angola: Journal of African Earth Sciences, v. 29, p. 735-759."
21,"general","Premoli, 1994","Premoli, Camillo, 1994, Industrial minerals in Angola and Mozambiqueﾗa multi-country approach, in Mathers, S.J., and Notholt, A.J.G., eds., Industrial minerals in developing countries: British Geological Survey and Association of Geoscientists for International Development (AGID) Report Series Geosciences in International Development 18, p. 135-144."
21,"location","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
21,"general","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
22,"location","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
22,"general","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
23,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
23,"general","Walker, 1961","Walker, G.W., 1961, Soda rhyolite (pantellerite?) from Lake County, Oregon, in Short papers in the geologic and hydrologic sciences, Articles 147-292, Geological Survey Research 1961: U.S. Geological Survey Professional Paper 424-C, p. C142-C147."
24,"location","Wright and others, 1998","Wright, W.R., Mariano, A.N., and Hagni, R.D., 1998, Pyroclore, mineralization and glimmerite formation in the Eldor (Lake LeMoyne) carbonatite complex, Labrador Trough, Quebed, Canada, , in B�langer, Marc, Clark, Thomas, and Jacob, Henri-Louis, eds., Proceedings of the 33rd Forum on the Geology of Industrial Minerals: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 50, p. 205-213."
24,"general","Wright, 1997","Wright, W.R., 1997, Mineralogy, petrology, petrogenesis, and geochemistry of the Eldor carbonatite complex, Labrador Trough, Quebec: Rolla, Missouri, unpublished MS thesis, University of Missouri - Rolla."
24,"general","Wright and others, 1998","Wright, W.R., Mariano, A.N., and Hagni, R.D., 1998, Pyroclore, mineralization and glimmerite formation in the Eldor (Lake LeMoyne) carbonatite complex, Labrador Trough, Quebed, Canada, , in B�langer, Marc, Clark, Thomas, and Jacob, Henri-Louis, eds., Proceedings of the 33rd Forum on the Geology of Industrial Minerals: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 50, p. 205-213."
25,"location","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
25,"general","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
26,"location","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
26,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
27,"resource","McManus and Schneider, 1994","McManus, M.N.C., and Schneider, G.I.C., 1994, Namibia: industrial minerals, in Mathers, S.J., and Notholt, A.J.G., eds., Industrial minerals in developing countries: British Geological Survey and Association of Geoscientists for International Development (AGID) Report Series Geosciences in International Development 18, p. 111-134."
27,"general","Murray, 1989","Murray, Roger, 1989, Namibiaﾒs mineral potentialﾗIndependence brightens development prospects: Industrial Minerals, no. 266, p. 85-89."
27,"general","Murray, 1991","Murray, Roger, 1991, Namibia's industrial minerals: Industrial Minerals, no. 288, p. 97-103."
27,"location","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
27,"general","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
28,"location","Commission for Geological Map of the World, 1972","Commission for Geological Map of the World, 1972, Carte m�tallog�nique de l�Europe; Liste de gites mineraux, feuille 2: Europe N (Stockholm): Bureau de Recherche G�ologiques et Mini�res and United Nations Educational Scientific and Cultural Organization, 16 p."
28,"general","Bugge, 1978","Bugge, J.A.W., 1978, Norway, in Bowie, S.H.U., Kvalheim, A., and Haslam, H.W., eds., Mineral deposits of Europe, volume1: Northwest Europe: London, The Institution of Mining and Metallurgy and The Mineralogical Society, p. 199-249."
28,"general","O'Driscoll, 1995","O'Driscoll, Mike, 1995, Opportunity knocks in Norway: Industrial Minerals, no. 333, p. 71-73."
28,"general","Wall and Mariano, 1996","Wall, F., and Mariano, A.N., 1996, Rare earth mienrals in carbonatites: a discussion centred on the Kangankunde Carbonatite, Malawi, in Jones, A.P.,"
29,"location","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
29,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
30,"general","Wall and Mariano, 1996","Wall, F., and Mariano, A.N., 1996, Rare earth mienrals in carbonatites: a discussion centred on the Kangankunde Carbonatite, Malawi, in Jones, A.P.,"
31,"general","Mariano, 1989","Mariano, A.N., 1989, Economic geology of rare earth minerals, in Lipin, B.R., and McKay, G.A., eds., Geochemistry and mineralogy of the rare earth elements: Washington, D.C., Mineralogical Society of America Reviews in Mineralogy 21, p. 309-348."
31,"location","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
31,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
32,"general","M�ller, 1989a","M�ller, P., 1989a, Rare earth mineral deposits and their industrial importance, in"
32,"general","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
33,"location","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
33,"general","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
33,"resource","Nokleberg and others, 1997","Nokleberg, W.J., Bundtzen, T.K., Dawson, K.M., Eremin R.A., Goryachev, N.A., Koch R.D., Ratkin, V.V., Rozenblum, I.S., Shpikerman, V.I., Frolov, Y.F., Gorodinsky, M.E., Melnikov, V.D., Diggles, M.F., Ognyanov, N.V., Petrachenko, E.D., Petrachenko, R.I., Pozdeev, A.I., Ross, K.V., Wood, D.H., Grybeck, Donald, Khanchuk, A.I., Kovbas, L.I., Nekrasov, I.Ya., and Sidorov, A.A., 1997, Significant metalliferous and selected non-metalliferous lode deposits and placer districts for the Russian Far East, Alaska, and the Canadian Cordillera: U.S. Geological Survey Open-File Report 96-513-B, 1 CD-ROM."
33,"general","Nokleberg and others, 1997","Nokleberg, W.J., Bundtzen, T.K., Dawson, K.M., Eremin R.A., Goryachev, N.A., Koch R.D., Ratkin, V.V., Rozenblum, I.S., Shpikerman, V.I., Frolov, Y.F., Gorodinsky, M.E., Melnikov, V.D., Diggles, M.F., Ognyanov, N.V., Petrachenko, E.D., Petrachenko, R.I., Pozdeev, A.I., Ross, K.V., Wood, D.H., Grybeck, Donald, Khanchuk, A.I., Kovbas, L.I., Nekrasov, I.Ya., and Sidorov, A.A., 1997, Significant metalliferous and selected non-metalliferous lode deposits and placer districts for the Russian Far East, Alaska, and the Canadian Cordillera: U.S. Geological Survey Open-File Report 96-513-B, 1 CD-ROM."
34,"general","Adrian and others, 1989","Adrian, J., Winfield, G.M., Boshoff, Frans, and Bristow, J.W., 1989, Geochemical and mineralogical features of a RE-enriched zone within the Goudini carbonatite complex, Transvaal, South Africa: Anais do Congresso Brasileiro de Geoquimica, v. 2, p. 61-62."
34,"general","Mariano, 1989","Mariano, A.N., 1989, Economic geology of rare earth minerals, in Lipin, B.R., and McKay, G.A., eds., Geochemistry and mineralogy of the rare earth elements: Washington, D.C., Mineralogical Society of America Reviews in Mineralogy 21, p. 309-348."
34,"location","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
34,"general","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
35,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
35,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
35,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
35,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
